VoterID,Name,Eligible
VOTER001,John Doe,Yes
VOTER002,Jane Smith,Yes
VOTER003,Alice Johnson,No
VOTER004,Bob Williams,Yes
VOTER005,Emily Brown,Yes
VOTER006,Michael Davis,Yes
VOTER007,Sarah Wilson,Yes
VOTER008,Daniel Martinez,Yes
VOTER009,Olivia Thomas,No
VOTER010,David Anderson,Yes
VOTER1010,Sarah Wilson,Yes
VOTER1011,Michael Davis,Yes
VOTER1012,Sarah Wilson,Yes
VOTER1013,Sarah Wilson,Yes
VOTER1014,Sarah Wilson,Yes
VOTER1015,Olivia Thomas,No
VOTER1016,Olivia Thomas,No
VOTER1017,Jane Smith,Yes
VOTER1018,Daniel Martinez,Yes
VOTER1019,Sarah Wilson,Yes
VOTER1020,Olivia Thomas,No
VOTER1021,Olivia Thomas,No
VOTER1022,Alice Johnson,No
VOTER1023,John Doe,Yes
VOTER1024,Michael Davis,Yes
VOTER1025,Sarah Wilson,Yes
VOTER1026,Sarah Wilson,Yes
VOTER1027,Alice Johnson,No
VOTER1028,Olivia Thomas,No
VOTER1029,Sarah Wilson,Yes
VOTER1030,Sarah Wilson,Yes
VOTER1031,Sarah Wilson,Yes
VOTER1032,Emily Brown,Yes
VOTER1033,Sarah Wilson,Yes
VOTER1034,Emily Brown,Yes
VOTER1035,Michael Davis,Yes
VOTER1036,John Doe,Yes
VOTER1037,Sarah Wilson,Yes
VOTER1038,Sarah Wilson,Yes
VOTER1039,Emily Brown,Yes
VOTER1040,Sarah Wilson,Yes
VOTER1041,Sarah Wilson,Yes
VOTER1042,Olivia Thomas,No
VOTER1043,Alice Johnson,No
VOTER1044,Sarah Wilson,Yes
VOTER1045,Sarah Wilson,Yes
VOTER1046,Sarah Wilson,Yes
VOTER1047,Sarah Wilson,Yes
VOTER1048,Sarah Wilson,Yes
VOTER1049,Olivia Thomas,No
VOTER1050,Sarah Wilson,Yes
VOTER1051,David Anderson,Yes
VOTER1052,Sarah Wilson,Yes
VOTER1053,Michael Davis,Yes
VOTER1054,David Anderson,Yes
VOTER1055,David Anderson,Yes
VOTER1056,Sarah Wilson,Yes
VOTER1057,Alice Johnson,No
VOTER1058,Michael Davis,Yes
VOTER1059,Sarah Wilson,Yes
VOTER1060,Bob Williams,Yes
VOTER1061,John Doe,Yes
VOTER1062,Sarah Wilson,Yes
VOTER1063,Sarah Wilson,Yes
VOTER1064,Jane Smith,Yes
VOTER1065,Sarah Wilson,Yes
VOTER1066,Jane Smith,Yes
VOTER1067,Sarah Wilson,Yes
VOTER1068,Alice Johnson,No
VOTER1069,Sarah Wilson,Yes
